factors	triplet	singlet
1.0303607214428858e0	-3.4033261815206686e1	2.0627776841999864e1
1.030561122244489e0	-3.268197581414216e1	2.160345671519899e1
1.0307615230460923e0	-3.135567742733368e1	2.2565905957461332e1
1.0309619238476955e0	-3.0053588738067013e1	2.3515607256363808e1
1.0311623246492987e0	-2.877495437905074e1	2.4452982940591728e1
1.031362725450902e0	-2.751904737766089e1	2.5378449189718847e1
1.0315631262525051e0	-2.6285171934521603e1	2.6292405626249195e1
1.0317635270541083e0	-2.5072662375732634e1	2.7195242037660936e1
1.0319639278557116e0	-2.3880884538707193e1	2.8087330250159567e1
1.0321643286573146e0	-2.2709212385527653e1	2.8969029156182646e1
1.0323647294589178e0	-2.1557056880707282e1	2.9840687049816882e1
1.032565130260521e0	-2.0423852404177858e1	3.0702639396108165e1
1.0327655310621242e0	-1.930904853066845e1	3.1555210989266964e1
1.0329659318637274e0	-1.8212118790918375e1	3.2398715453804286e1
1.0331663326653306e0	-1.7132551312655174e1	3.323345690854562e1
1.0333667334669339e0	-1.6069858768976474e1	3.4059728743827066e1
1.033567134268537e0	-1.5023566079485166e1	3.48778160451086e1
1.0337675350701403e0	-1.3993224218442004e1	3.568793037617063e1
1.0339679358717435e0	-1.2978391826117704e1	3.649046820237053e1
1.0341683366733467e0	-1.1978645266887126e1	3.728562425670476e1
1.03436873747495e0	-1.0993578755622657e1	3.8073714708006136e1
1.0345691382765532e0	-1.0022793976314421e1	3.885479405846677e1
1.0347695390781564e0	-9.065913888866943e0	3.96293794339645e1
1.0349699398797596e0	-8.122567171420274e0	4.039736519343602e1
1.0351703406813628e0	-7.192393335448688e0	4.115934072899557e1
1.035370741482966e0	-6.275062539423109e0	4.1915254385931625e1
1.0355711422845693e0	-5.370236152377498e0	4.2665405937924824e1
1.0357715430861725e0	-4.477596086498129e0	4.341000342816991e1
